  0 ,     6 ,0.003
 50 ,    42 ,0.020
100 ,   202 ,0.107
150 ,   226 ,0.203
200 ,   279 ,0.322
250 ,   228 ,0.420
300 ,   195 ,0.503
350 ,   173 ,0.577
400 ,   141 ,0.637
450 ,   153 ,0.702
500 ,   134 ,0.760
550 ,   101 ,0.803
600 ,    71 ,0.833
650 ,    58 ,0.858
700 ,    62 ,0.884
750 ,    39 ,0.901
800 ,    32 ,0.915
850 ,    32 ,0.928
900 ,    26 ,0.939
950 ,   142 ,1.000
